pitchers,,position players
0700,피칭,0800,워밍업
1200,중식,1200,중식
1200,중식,1200,중식
1200,중식,1200,중식
1200,중식,1200,중식
1200,중식,1200,중식
1200,중식,1200,중식
1200,중식,1200,중식
1200,중식,1200,중식
1200,중식,1200,중식
1200,중식,1200,중식
1200,중식,1200,중식
1200,중식,1200,중식
1200,중식,1200,중식
1200,중식,1200,중식
1200,중식,1200,중식
1200,중식,1200,중식
1200,중식,1200,중식
1200,중식,1200,중식
1200,중식,1200,중식
1200,중식,1200,중식
1200,중식,1200,중식
1200,중식,1200,중식
1200,중식,1200,중식
1300,컨디셔닝,1300,BP
기타사항,[화이트/착용시 👉 화이트 연습복] [오렌지/착용시 👉 네이비 연습복]

